K,N,n_tables,max_abs_diff,median_abs_diff,max_rel_diff,median_rel_diff,median_chi2
2,100,625,5.684341886080802e-14,8.881784197001252e-16,2.505802206356802e-14,3.292136569655966e-16,4.059934265564904
2,1000,625,3.979039320256561e-13,7.105427357601002e-15,2.6914184192834044e-13,3.1705280085858125e-16,32.58987761135382
2,10000,625,4.547473508864641e-12,8.526512829121202e-14,1.5641185872879243e-13,3.5014987696837264e-16,413.55150663292125
2,100000,625,3.637978807091713e-11,9.094947017729282e-13,3.486243035433817e-13,3.2949553012464623e-16,4764.6165876798395
5,100,625,2.842170943040401e-14,3.552713678800501e-15,2.4343490186614265e-15,1.742155223764565e-16,16.85335993371708
5,1000,625,4.547473508864641e-13,2.842170943040401e-14,3.4135792189627945e-15,1.933969787605879e-16,146.96046242577617
5,10000,625,2.7284841053187847e-12,2.2737367544323206e-13,5.281047224023593e-15,1.9899863300447175e-16,1386.611048514161
5,100000,625,3.2741809263825417e-11,1.8189894035458565e-12,3.924854761293947e-14,1.752199121975408e-16,14406.395418193719
10,100,625,2.842170943040401e-14,3.552713678800501e-15,1.1792717340276503e-15,1.6546136092241972e-16,24.52803606649761
10,1000,625,2.5579538487363607e-13,2.842170943040401e-14,1.3176309842457163e-15,1.654204689915099e-16,189.54402972412248
10,10000,625,1.8189894035458565e-12,2.2737367544323206e-13,1.132353759025879e-15,1.6416162177103414e-16,1812.0295106391413
10,100000,625,2.1827872842550278e-11,3.637978807091713e-12,7.561016249691978e-16,1.612402892528457e-16,17471.32159460116
50,100,625,4.263256414560601e-14,7.105427357601002e-15,9.000207986294603e-16,1.5045857670664293e-16,46.152146464646464
50,1000,625,2.2737367544323206e-13,2.842170943040401e-14,7.983472760252527e-16,1.3665743357907793e-16,244.34620199931126
50,10000,625,1.8189894035458565e-12,2.2737367544323206e-13,6.943796518523202e-16,1.3991551404854787e-16,2136.946693310221
50,100000,625,1.8189894035458565e-11,3.637978807091713e-12,9.148713354319157e-16,1.5594058272562173e-16,21328.14125189328
