feature,chi2,sum_r2,plug_in_mi,two_N_mi,ksg_mi
relationship,10088.722490152224,10088.722490152224,0.11466261150408734,11200.702542165267,0.114662611504088
marital-status,9816.015037266438,9816.015037266438,0.10882569452497043,10630.529143977212,0.10882569452497023
capital-gain,7172.690055931855,7172.690055931855,0.06706555806536009,6551.231974056635,0.083182657865561
education,6537.972961360963,6537.972961360962,0.0638192601855608,6234.120611966322,0.0638192601855597
occupation,5983.163852487416,5983.163852487416,0.06367229735362002,6219.764694691018,0.06367229735361941
education-num,5759.481240283358,5759.481240283357,0.0577566316701186,5641.8988080638655,0.0650474421643863
age,4936.627747744054,4936.627747744053,0.06466136410035245,6316.3806907788285,0.06830469470384637
hours-per-week,3297.523267683884,3297.523267683884,0.035541306583018656,3471.8169922555944,0.043989455298473645
capital-loss,2666.5434314254044,2666.5434314254044,0.024473771502641385,2390.695895464021,0.0328805850286078
sex,2249.916167289077,2249.9161672890777,0.025431271284641815,2484.228304168951,0.02543127128464205
workclass,1610.7523748477367,1610.7523748477363,0.015446555749042423,1508.88135178946,0.015446555749042863
race,487.026286837627,487.026286837627,0.005678570017069359,554.7054335474032,0.005678570017068245
native-country,452.22900224544475,452.22900224544475,0.005682300012679722,555.069794438606,0.005682300012680304
fnlwgt,49.79705610159059,49.79705610159059,0.0005133784233786085,50.14885790931599,0.03888729280762804
