feature,chi2,sum_r2,plug_in_mi,two_N_mi,ksg_mi
V12,7134.025712294031,7134.025712294031,0.06887070303082593,6227.4267094533425,0.07113712647472381
V16,4391.5065887686615,4391.5065887686615,0.029397241496458185,2658.157370592742,0.029397241496458754
V11,3061.838938445269,3061.8389384452694,0.024351165660706622,2201.8811013724144,0.02435116566070715
V15,1302.6496139692913,1302.649613969291,0.012221232684684714,1105.0683018145612,0.011334738938235445
V9,1035.714225356292,1035.7142253562922,0.0136268377985144,1232.1659274172691,0.013626837798515465
V7,875.6937181054402,875.6937181054406,0.009653977015336747,872.9319096807793,0.009653977015338946
V2,836.1054877471965,836.1054877471967,0.008264317101376543,747.2760809406698,0.008264317101377225
V1,540.35823624398,540.35823624398,0.00549598211005024,496.95769435496277,0.011829229343629288
V6,466.04495865854926,466.0449586585494,0.005364306058595289,485.0512824303033,0.0229166079401808
V13,337.7926921981041,337.79269219810425,0.0039736554974183925,359.3058773875659,0.0055931098987405115
V10,239.70689524077923,239.70689524077937,0.002566593486152695,232.076516204899,0.006550737641519255
V4,238.92350616407606,238.92350616407623,0.0025981827626302863,234.93288176255575,0.002598182762630869
V8,210.19493419602674,210.19493419602662,0.002630448134316281,237.85038120114675,0.002630448134317405
V3,196.49594565603957,196.49594565603996,0.002101218114247327,189.9963443264718,0.0021012181142471067
V14,73.1474307568777,73.1474307568777,0.0007502645361085773,67.84041988400978,0.02856798198814481
V5,22.72350213915002,22.723502139150032,0.0002942329030607777,26.60512756056164,0.00029423290306056487
