feature,chi2,sum_r2,plug_in_mi,two_N_mi,ksg_mi
char_freq_%21,1656.7680957334753,1656.7680957334753,0.19306014878581784,1776.5394891270957,0.2073570676472387
char_freq_%24,1549.1103210147933,1549.1103210147933,0.17906300874818687,1647.7378065008156,0.18518924003314496
capital_run_length_longest,1258.998994164062,1258.9989941640617,0.15113317508309196,1390.7274771146122,0.18512585209215304
word_freq_remove,1254.3731810633196,1254.3731810633196,0.1490846198720297,1371.8766720624174,0.13804907948406564
word_freq_your,1213.780695648486,1213.7806956484858,0.1378811690452603,1268.7825175544851,0.165861748265824
word_freq_free,1196.105415356118,1196.1054153561179,0.13332060723012204,1226.816227731583,0.13204243706568852
capital_run_length_average,1166.7295838378336,1166.7295838378338,0.13554413663970366,1247.277145358553,0.1702069456603572
word_freq_money,1041.8248759675673,1041.8248759675676,0.12176163164205414,1120.4505343701821,0.12557879989289011
capital_run_length_total,918.5832700464814,918.5832700464814,0.11241236044214893,1034.4185407886544,0.14028921181667897
word_freq_000,862.5066240418294,862.5066240418295,0.10363691596051408,953.6669006686506,0.11720616081056656
word_freq_our,809.3126617909546,809.3126617909547,0.08901253592219972,819.0933555560819,0.09308249017487835
word_freq_hp,742.5030227946621,742.5030227946622,0.10571872122668094,972.823672727918,0.1089060820848542
word_freq_you,708.04314929929,708.04314929929,0.08164405928507265,751.2886335412385,0.12902042474788922
word_freq_all,614.1932014019858,614.1932014019861,0.06692797907301193,615.8712634298557,0.07886982235509454
word_freq_receive,592.5678371616348,592.5678371616348,0.06535846163915675,601.4285640035204,0.056525877617656706
word_freq_business,585.9397469081667,585.9397469081667,0.06386433991716832,587.6796559177828,0.08682084742300233
word_freq_george,580.873550515264,580.873550515264,0.08904481280588432,819.3903674397475,0.08974193335065173
word_freq_address,565.5078459353048,565.5078459353047,0.06212006069097742,571.6287984783742,0.07383430202904573
word_freq_internet,551.8306010586134,551.8306010586135,0.05995969109438076,551.7490774504918,0.07200826627437329
word_freq_hpl,540.1573319362454,540.1573319362454,0.07802201963511796,717.9586246823554,0.07145615757505319
word_freq_over,489.88897092042623,489.88897092042623,0.05295342899674117,487.27745362801227,0.05901388677195607
word_freq_credit,489.18424119286647,489.1842411928665,0.05650419864177487,519.9516359016123,0.05247407562016981
word_freq_mail,463.4538495747251,463.45384957472504,0.04988980790311185,459.0860123244353,0.057699832743635104
word_freq_order,428.5587515679548,428.55875156795474,0.046303936330423554,426.0888221125575,0.05308847914776749
word_freq_email,420.2822629420544,420.2822629420545,0.045102455651885566,415.032796908651,0.0640574736155497
char_freq_%23,359.89030413194564,359.89030413194564,0.03873298974861122,356.42097166672045,0.04508655889545521
word_freq_addresses,330.64680375117484,330.64680375117484,0.0382122568120727,351.62918718469297,0.0388153111447016
word_freq_1999,329.5848056489994,329.58480564899924,0.04305814064026162,396.22101017168745,0.048661836139064496
word_freq_make,328.54359861048073,328.5435986104808,0.035220318517729866,324.09737100015025,0.04756711209494813
word_freq_will,309.9517293030668,309.9517293030668,0.033535186431536586,308.59078554299964,0.0435473508347648
word_freq_labs,279.857366513852,279.85736651385207,0.04137923947769389,380.77176167373915,0.036490110146725874
word_freq_people,275.46425924237224,275.46425924237224,0.029449041186137163,270.99007699483417,0.0364712217825125
word_freq_edu,266.05070599458287,266.05070599458287,0.03699925019666569,340.46710030971764,0.047761847548111414
word_freq_re,260.1150575183948,260.11505751839485,0.03244001282697105,298.5129980337876,0.056104648950343616
word_freq_85,239.67024078790328,239.67024078790325,0.03515861782215548,323.5296011994747,0.04455247468412038
word_freq_650,237.05718183575382,237.05718183575385,0.03288991189296183,302.65296923903475,0.03186202592261966
word_freq_lab,232.41639930348006,232.41639930348003,0.037309275469457115,343.31995286994436,0.049283567773335424
char_freq_%28,196.69190248802838,196.6919024880284,0.02205764142288682,202.9744163734045,0.04708588149323756
word_freq_telnet,193.31262309682808,193.31262309682813,0.03059457413138989,281.5312711570498,0.020402761495007082
word_freq_meeting,184.96237255510545,184.96237255510545,0.029171308291995646,268.43437890294393,0.01372850801504355
word_freq_original,144.68715771818387,144.68715771818387,0.020220015506415757,186.0645826900378,0.03729075050934316
word_freq_technology,136.29406611335457,136.29406611335457,0.017125053987813905,157.58474679586354,0.02977999882928084
word_freq_pm,134.0930786587673,134.09307865876733,0.018752144630611665,172.55723489088854,0.021362283152985384
word_freq_857,133.31829559390079,133.31829559390076,0.021650207868455586,199.22521280552832,0.030855939180965963
word_freq_report,127.31264411801142,127.31264411801149,0.013899548199980271,127.90364253621846,0.03067413188916035
word_freq_data,126.46500160438833,126.46500160438835,0.017528240435467964,161.29486848717622,0.015341092011343704
word_freq_415,119.47373622310373,119.47373622310374,0.01869370963939641,172.01951610172577,0.008957440065238353
word_freq_project,117.34073947154559,117.34073947154556,0.017015564951610992,156.57722868472433,0.02221387007701625
word_freq_cs,96.27821007620034,96.27821007620034,0.015715478977338875,144.61383754947232,0.02315968951559544
word_freq_conference,95.1675441968109,95.16754419681088,0.014001236989415956,128.83938277660562,0.0
word_freq_font,93.90530785313031,93.9053078531303,0.010826183234994508,99.62253812841946,0.027658901097820543
