feature,sum_r2,gbm_importance
relationship,10088.722490152224,0.3781742525428275
marital-status,9816.015037266438,0.010649367683878192
capital-gain,7172.690055931855,0.1813364289080513
education,6537.972961360962,0.014970184547153894
occupation,5983.163852487416,0.02890687009352448
education-num,5759.481240283357,0.18108132149785838
age,4936.627747744053,0.07247620223609293
hours-per-week,3297.523267683884,0.04413615014361059
capital-loss,2666.5434314254044,0.07026047724071377
sex,2249.9161672890777,0.004412748700066594
workclass,1610.7523748477363,0.007671476550608997
race,487.026286837627,0.0011096658704597845
native-country,452.22900224544475,0.0014486740429402655
fnlwgt,49.79705610159059,0.0033661799422133277
